,importance
C6_gamma_rel_power,0.0007728436569905239
C2_theta_rel_power,0.0007721437733279922
AF8_delta_power,0.000771986287906221
AF7_theta_rel_power,0.0007695314339870589
TP8_delta_power,0.0007682482269758186
C5_theta_power,0.0007659514060292221
OZ_std,0.000764443210588912
POZ_alpha_power,0.0007623255568591663
F3_beta_power,0.0007585797331805469
AF2_delta_rel_power,0.0007536488416684345
CP4_theta_rel_power,0.0007519374360557458
FCZ_max,0.0007492266275426223
P7_delta_power,0.0007490732402494949
FC6_median,0.0007481727919391979
CPZ_gamma_power,0.0007463577395163533
AF7_theta_power,0.0007420006910561106
PO8_max,0.0007410236903353443
FT8_skew,0.0007357174917545081
F8_median,0.000735019129883225
AF1_beta_power,0.0007328396608359161
FC1_gamma_rel_power,0.0007296294306357716
CP1_alpha_rel_power,0.0007292235818318212
T7_max,0.0007282890028210986
O1_quartile_1,0.000726958366841503
PO7_beta_rel_power,0.000726594184309634
AF7_std,0.0007253249814992682
P1_alpha_power,0.000721315522905376
P7_skew,0.0007206369685523988
FC2_theta_power,0.0007181477970921402
AFZ_ptp,0.0007092594395834369
OZ_delta_rel_power,0.0007023600863759248
PO1_gamma_power,0.000698703952564281
FZ_alpha_rel_power,0.0006972829801489826
F6_delta_rel_power,0.0006937739703089361
FC3_gamma_rel_power,0.0006911207068747495
PO2_gamma_rel_power,0.0006910488004743588
FT8_ptp,0.0006883112091540824
CP2_max,0.000687568896923148
O1_gamma_power,0.0006758273805391973
AF2_alpha_rel_power,0.0006734874062675641
Y_beta_rel_power,0.000672137063725132
X_ptp,0.0006718212220755589
PZ_delta_rel_power,0.00067156828107765
PO2_ptp,0.0006705987523048764
P3_beta_power,0.00066902973380864
FP1_quartile_3,0.0006688667530421849
PO8_quartile_1,0.0006685824150896471
PO7_beta_power,0.0006670588805851377
FT7_theta_rel_power,0.0006665905037977828
P2_beta_rel_power,0.0006621890718269933
O1_ptp,0.0006621249235741383
C4_skew,0.0006579515170427216
FCZ_kurtosis,0.000657451317419403
AF7_alpha_power,0.0006562202605000079
C1_theta_power,0.0006557128668805199
CPZ_theta_power,0.0006548609875231312
F8_alpha_rel_power,0.0006529597437232849
AF1_min,0.0006528453360401882
FT7_beta_power,0.0006502765312049791
